velocity,optimal_alpha,optimal_beta,mse,num_segments
-60.0,0.21,0.033,0.0,1
-48.5,0.21,0.033,8.361892679571068e-06,1
-39.0,0.21,0.033,6.341691860202276e-06,1
-32.0,0.21,0.033,0.0,1
-31.5,0.21,0.033,1.2810394419440875e-05,1
-25.5,0.21,0.033,0.0,1
-20.5,0.21,0.033,1.6329416171332732e-06,1
-16.5,0.21,0.033,1.3031861003251339e-06,1
-16.0,0.21,0.033,0.0,1
-13.5,0.21,0.033,5.235067817252963e-06,1
-11.0,0.21,0.033,0.0,1
-10.5,0.21,0.033,0.0,1
-8.5,0.21,0.033,1.356212346674459e-06,1
-7.0,0.21,0.033,1.087918525231623e-06,1
-6.0,0.21,0.033,0.0,1
-5.5,0.21,0.033,2.197430215418545e-06,1
-4.5,0.21,0.033,0.0,1
-3.5,0.21,0.033,8.520324983229713e-07,2
-3.0,0.21,0.033,4.581535148770752e-07,1
-2.5,0.21,0.033,1.847935315104095e-07,2
-2.0,0.21,0.033,2.977839666089647e-07,1
-1.5,0.21,0.033,3.5969588999603455e-07,2
-1.0,0.21,0.033,0.0,2
0.5,0.21,0.033,0.0,1
1.0,0.21,0.033,9.712596137545983e-08,2
1.5,0.21,0.033,4.049234108232814e-07,2
2.0,0.21,0.033,1.6741444554489878e-07,1
2.5,0.21,0.033,4.1612695623791655e-07,1
3.0,0.21,0.033,7.739817342918622e-07,1
3.5,0.21,0.033,3.200414263751908e-07,1
4.5,0.21,0.033,1.5896194052610125e-06,1
5.5,0.21,0.033,0.0,1
6.0,0.21,0.033,0.0,1
6.5,0.21,0.033,0.0,1
7.0,0.21,0.033,0.0,1
8.5,0.21,0.033,1.5260757162167795e-06,1
10.5,0.21,0.033,3.8138360175733057e-06,1
11.0,0.21,0.033,0.0,1
13.5,0.21,0.033,0.0,1
16.0,0.21,0.033,0.0,1
16.5,0.21,0.033,1.4714197188790793e-06,1
20.5,0.21,0.033,0.0,1
25.5,0.21,0.033,0.0,1
26.5,0.21,0.033,0.0,1
31.5,0.21,0.033,1.1633029666642192e-05,1
32.0,0.21,0.033,0.0,1
39.0,0.21,0.033,7.1827189924938525e-06,1
48.5,0.21,0.033,4.657617485961617e-06,1
60.0,0.21,0.033,0.0,1
