velocity,optimal_alpha,optimal_beta,mse,num_segments
-60.0,0.13,0.05,0.0,1
-48.5,0.13,0.05,0.0,1
-39.0,0.13,0.05,0.0,1
-32.0,0.13,0.05,0.0,1
-31.5,0.13,0.05,0.0,1
-25.5,0.13,0.05,0.0,1
-20.5,0.13,0.05,0.0,1
-16.5,0.13,0.05,0.0,1
-16.0,0.13,0.05,0.0,1
-13.5,0.13,0.05,0.0,1
-11.0,0.13,0.05,0.0,1
-10.5,0.13,0.05,0.0,1
-8.5,0.13,0.05,0.0,1
-7.0,0.13,0.05,0.0,1
-6.0,0.13,0.05,0.0,1
-5.5,0.13,0.05,0.0,1
-4.5,0.13,0.05,0.0,1
-3.5,0.13,0.05,0.0,2
-3.0,0.13,0.05,0.0,1
-2.5,0.13,0.05,0.0,2
-2.0,0.13,0.05,0.0,1
-1.5,0.13,0.05,0.0,2
-1.0,0.13,0.05,0.0,2
0.5,0.13,0.05,0.0,1
1.0,0.13,0.05,0.0,2
1.5,0.13,0.05,0.0,2
2.0,0.13,0.05,0.0,1
2.5,0.13,0.05,0.0,1
3.0,0.13,0.05,0.0,1
3.5,0.13,0.05,0.0,1
4.5,0.13,0.05,0.0,1
5.5,0.13,0.05,0.0,1
6.0,0.13,0.05,0.0,1
6.5,0.13,0.05,0.0,1
7.0,0.13,0.05,0.0,1
8.5,0.13,0.05,0.0,1
10.5,0.13,0.05,0.0,1
11.0,0.13,0.05,0.0,1
13.5,0.13,0.05,0.0,1
16.0,0.13,0.05,0.0,1
16.5,0.13,0.05,0.0,1
20.5,0.13,0.05,0.0,1
25.5,0.13,0.05,0.0,1
26.5,0.13,0.05,0.0,1
31.5,0.13,0.05,0.0,1
32.0,0.13,0.05,0.0,1
39.0,0.13,0.05,0.0,1
48.5,0.13,0.05,0.0,1
60.0,0.13,0.05,0.0,1
