velocity,optimal_alpha,optimal_beta,mse,num_segments
-58.0,0.13,0.05,0.0,1
-57.5,0.13,0.05,0.0,1
-57.0,0.13,0.05,0.0,1
-56.5,0.13,0.05,0.0,1
-56.0,0.13,0.05,0.0,1
-55.5,0.13,0.05,0.0,1
-55.0,0.13,0.05,0.0,1
-54.0,0.13,0.05,0.0,1
-52.0,0.13,0.05,0.0,1
-47.5,0.13,0.05,0.0,1
-47.0,0.13,0.05,0.0,1
-46.5,0.13,0.05,0.0,1
-46.0,0.13,0.05,0.0,1
-45.5,0.13,0.05,0.0,1
-45.0,0.13,0.05,0.0,1
-44.5,0.13,0.05,0.0,1
-44.0,0.13,0.05,0.0,1
-43.0,0.13,0.05,0.0,1
-42.0,0.13,0.05,0.0,1
-41.0,0.13,0.05,0.0,1
-40.5,0.13,0.05,0.0,1
-39.0,0.13,0.05,0.0,1
-38.5,0.13,0.05,0.0,1
-38.0,0.13,0.05,0.0,1
-37.5,0.13,0.05,0.0,1
-37.0,0.13,0.05,0.0,2
-36.5,0.13,0.05,0.0,1
-36.0,0.13,0.05,0.0,1
-35.5,0.13,0.05,0.0,1
-35.0,0.13,0.05,0.0,1
-34.5,0.13,0.05,0.0,1
-34.0,0.13,0.05,0.0,1
-33.5,0.13,0.05,0.0,1
-33.0,0.13,0.05,0.0,1
-32.0,0.13,0.05,0.0,1
-31.5,0.13,0.05,0.0,1
-31.0,0.13,0.05,0.0,1
-30.5,0.13,0.05,0.0,1
-30.0,0.13,0.05,0.0,2
-29.5,0.13,0.05,0.0,1
-29.0,0.13,0.05,0.0,1
-28.5,0.13,0.05,0.0,3
-28.0,0.13,0.05,0.0,2
-27.5,0.13,0.05,0.0,1
-27.0,0.13,0.05,0.0,1
-26.5,0.13,0.05,0.0,1
-26.0,0.13,0.05,0.0,2
-25.0,0.13,0.05,0.0,2
-24.5,0.13,0.05,0.0,2
-24.0,0.13,0.05,0.0,2
-23.5,0.13,0.05,0.0,2
-23.0,0.13,0.05,0.0,2
-22.0,0.13,0.05,0.0,1
-21.5,0.13,0.05,0.0,2
-21.0,0.13,0.05,0.0,1
-20.5,0.13,0.05,0.0,1
-20.0,0.13,0.05,0.0,2
-19.5,0.13,0.05,0.0,2
-19.0,0.13,0.05,0.0,3
-18.5,0.13,0.05,0.0,1
-18.0,0.13,0.05,0.0,1
-17.5,0.13,0.05,0.0,2
-17.0,0.13,0.05,0.0,2
-16.5,0.13,0.05,0.0,2
-16.0,0.13,0.05,0.0,1
-15.5,0.13,0.05,0.0,4
-15.0,0.13,0.05,0.0,1
-14.5,0.13,0.05,0.0,2
-14.0,0.13,0.05,0.0,2
-13.5,0.13,0.05,0.0,3
-13.0,0.13,0.05,0.0,3
-12.5,0.13,0.05,0.0,2
-12.0,0.13,0.05,0.0,3
-11.5,0.13,0.05,0.0,3
-11.0,0.13,0.05,0.0,3
-10.5,0.13,0.05,0.0,4
-10.0,0.13,0.05,0.0,4
-9.5,0.13,0.05,0.0,4
-9.0,0.13,0.05,0.0,2
-8.5,0.13,0.05,0.0,4
-8.0,0.13,0.05,0.0,6
-7.5,0.13,0.05,0.0,4
-7.0,0.13,0.05,0.0,5
-6.5,0.13,0.05,0.0,5
-6.0,0.13,0.05,0.0,3
-5.5,0.13,0.05,0.0,5
-5.0,0.13,0.05,0.0,7
-4.5,0.13,0.05,0.0,9
-4.0,0.13,0.05,0.0,5
-3.5,0.13,0.05,0.0,6
-3.0,0.13,0.05,0.0,8
-2.5,0.13,0.05,0.0,8
-2.0,0.13,0.05,0.0,7
-1.5,0.13,0.05,0.0,8
-1.0,0.13,0.05,0.0,8
-0.5,0.13,0.05,0.0,7
0.0,0.13,0.05,0.0,9
0.5,0.13,0.05,0.0,7
1.0,0.13,0.05,0.0,7
1.5,0.13,0.05,0.0,9
2.0,0.13,0.05,0.0,8
2.5,0.13,0.05,0.0,10
3.0,0.13,0.05,0.0,12
3.5,0.13,0.05,0.0,9
4.0,0.13,0.05,0.0,7
4.5,0.13,0.05,0.0,8
5.0,0.13,0.05,0.0,7
5.5,0.13,0.05,0.0,6
6.0,0.13,0.05,0.0,5
6.5,0.13,0.05,0.0,6
7.0,0.13,0.05,0.0,7
7.5,0.13,0.05,0.0,4
8.0,0.13,0.05,0.0,3
8.5,0.13,0.05,0.0,6
9.0,0.13,0.05,0.0,4
9.5,0.13,0.05,0.0,1
10.0,0.13,0.05,0.0,4
10.5,0.13,0.05,0.0,4
11.0,0.13,0.05,0.0,4
11.5,0.13,0.05,0.0,2
12.0,0.13,0.05,0.0,3
12.5,0.13,0.05,0.0,4
13.0,0.13,0.05,0.0,4
13.5,0.13,0.05,0.0,1
14.0,0.13,0.05,0.0,2
14.5,0.13,0.05,0.0,1
15.0,0.13,0.05,0.0,3
15.5,0.13,0.05,0.0,3
16.0,0.13,0.05,0.0,2
16.5,0.13,0.05,0.0,2
17.0,0.13,0.05,0.0,2
17.5,0.13,0.05,0.0,2
18.0,0.13,0.05,0.0,2
18.5,0.13,0.05,0.0,2
19.0,0.13,0.05,0.0,2
19.5,0.13,0.05,0.0,2
20.0,0.13,0.05,0.0,1
20.5,0.13,0.05,0.0,2
21.0,0.13,0.05,0.0,1
21.5,0.13,0.05,0.0,2
22.0,0.13,0.05,0.0,1
22.5,0.13,0.05,0.0,1
23.0,0.13,0.05,0.0,3
23.5,0.13,0.05,0.0,2
24.0,0.13,0.05,0.0,2
24.5,0.13,0.05,0.0,1
25.0,0.13,0.05,0.0,2
26.0,0.13,0.05,0.0,2
26.5,0.13,0.05,0.0,2
27.0,0.13,0.05,0.0,1
27.5,0.13,0.05,0.0,2
28.0,0.13,0.05,0.0,2
28.5,0.13,0.05,0.0,2
29.0,0.13,0.05,0.0,1
29.5,0.13,0.05,0.0,1
30.0,0.13,0.05,0.0,1
30.5,0.13,0.05,0.0,2
31.0,0.13,0.05,0.0,2
32.0,0.13,0.05,0.0,2
33.0,0.13,0.05,0.0,1
34.0,0.13,0.05,0.0,2
35.0,0.13,0.05,0.0,1
35.5,0.13,0.05,0.0,1
36.0,0.13,0.05,0.0,1
36.5,0.13,0.05,0.0,2
37.0,0.13,0.05,0.0,1
37.5,0.13,0.05,0.0,1
38.0,0.13,0.05,0.0,1
38.5,0.13,0.05,0.0,2
40.0,0.13,0.05,0.0,1
41.5,0.13,0.05,0.0,1
42.5,0.13,0.05,0.0,1
43.5,0.13,0.05,0.0,1
44.5,0.13,0.05,0.0,1
45.0,0.13,0.05,0.0,1
45.5,0.13,0.05,0.0,1
46.0,0.13,0.05,0.0,1
46.5,0.13,0.05,0.0,1
47.0,0.13,0.05,0.0,1
47.5,0.13,0.05,0.0,1
51.0,0.13,0.05,0.0,1
52.5,0.13,0.05,0.0,1
53.5,0.13,0.05,0.0,1
54.5,0.13,0.05,0.0,1
55.0,0.13,0.05,0.0,1
55.5,0.13,0.05,0.0,1
56.0,0.13,0.05,0.0,1
56.5,0.13,0.05,0.0,1
57.0,0.13,0.05,0.0,1
57.5,0.13,0.05,0.0,1
58.0,0.13,0.05,0.0,1
