sigma_exc,sigma_inh,g_exc,g_inh,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,composite_error,error_message
0.05,0.1,0.875,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.875,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.5,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.5,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.625,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.75,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.625,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.875,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.75,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,1.0,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.625,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.5,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.75,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.75,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.625,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.875,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.5,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.875,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,1.0,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.75,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.1,0.5,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.15,0.5,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
